,date,time,abstract,sentiment_score
83,2018-05-21,09:00:06+0000,"Mrs. Clinton plans to endorse Andrew M. Cuomo for governor of New York this week. But elsewhere on the 2018 campaign trail, she and Mr. Clinton are not always welcome.","{'neg': 0.076, 'neu': 0.854, 'pos': 0.07, 'compound': -0.0464}"
84,2018-05-24,22:55:47+0000,"Economists, lawmakers and industry executives said the threat of tariffs on imported cars threatened to undercut global economic growth and stoke trade tensions even with crucial allies.","{'neg': 0.262, 'neu': 0.663, 'pos': 0.075, 'compound': -0.7579}"
85,2018-05-23,15:07:53+0000,"Ms. Abrams secured the Democratic nomination for governor of Georgia on Tuesday evening. On Wednesday morning, she spoke to The New York Times about what’s next.","{'neg': 0.0, 'neu': 0.903, 'pos': 0.097, 'compound': 0.4019}"
86,2018-05-23,18:39:29+0000,"The wind farms have increasingly become mainstream sources of power in Northern Europe, but the United States has largely not pursued the technology.","{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.5719}"
87,2018-05-23,00:06:56+0000,Ms. McGrath won without the backing of national Democrats. A viral video about her military experience helped generate more than $1 million in donations.,"{'neg': 0.042, 'neu': 0.815, 'pos': 0.144, 'compound': 0.5612}"
88,2018-05-22,17:40:17+0000,"The president said that there had been no agreement to provide relief to the Chinese telecom firm in return for trade concessions, though he left the door open to a future pact.","{'neg': 0.06, 'neu': 0.767, 'pos': 0.173, 'compound': 0.6249}"
89,2018-05-21,12:13:33+0000,Social media users noticed a distinct age gap between the Chinese delegates and the American lawmakers who met them in Washington.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
90,2018-05-19,23:44:14+0000,"Ayanna Pressley is trying to become the first nonwhite member of the House from Massachusetts, but Mr. Lewis and others have endorsed her white opponent.","{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.3612}"
91,2018-05-19,18:45:28+0000,"Stacey Abrams, a Democrat running for governor of Georgia, is trying to win a statewide election in the Deep South without relying on conservative-leaning white voters.","{'neg': 0.0, 'neu': 0.858, 'pos': 0.142, 'compound': 0.5859}"
92,2018-05-19,18:25:13+0000,"The two countries said they had reached an agreement to increase American exports, but the White House noted that specifics would be agreed upon at a later date.","{'neg': 0.0, 'neu': 0.78, 'pos': 0.22, 'compound': 0.5423}"
93,2018-05-19,09:00:08+0000,"Pennsylvania has had an all-male congressional delegation since 2015. After victories by several women this week, that may change in November.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
94,2018-05-18,19:13:49+0000,"Chinese negotiators pledged to reduce tariffs and nontariff barriers on American goods, a move that could result in an additional $200 billion of purchases by 2020.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
95,2018-05-18,00:14:47+0000,The idea of impeachment raises the stakes for control of Congress this November and potentially puts the idea front and center in the midterm elections.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
96,2018-05-18,00:47:09+0000,"The Trump administration had hoped a revised deal would reach the current Congress, in which Republicans control both chambers. Now, those prospects are diminishing by the day.","{'neg': 0.0, 'neu': 0.796, 'pos': 0.204, 'compound': 0.5994}"
